field,kind,probe,obtained_by
Race / ethnicity of participants,never collected,Both annual reports searched for a demographic breakdown; neither publishes one. The application does not ask. Checked 2026-07-27.,
Household income / free-lunch status,never collected,"No income data appears in either report. EFA eligibility has never been means-tested, so the programme does not gather it. Checked 2026-07-27.",
Grade level of participants,never collected,"Both PDFs searched for a grade-level participation breakdown; neither publishes one. Only eligibility-category, schooling-sector and prior-school-status breakdowns exist. Checked 2026-07-27.",
District or county of residence,"published once, then dropped","The 2023-24 report lists a city for every participating school; the 2024-25 report's Table 1 omits city for about 83% of rows, keeping it only to disambiguate same-named campuses. No report has ever given participants' own district or county. Checked 2026-07-27.",
"Per-recipient dollars, autumn 2024",published but broken,Appendix B covers spring 2025 only. The report's own footnote states provider identities “could not be reliably determined” for autumn 2024 because of limitations in the payment platform then in use. Roughly half the year's spending has no recipient attached to it anywhere in the public record.,
"Per-school dollars, 2023-24",never published,"The 2023-24 report contains 15 dollar amounts in 28 pages, on pages 5, 7, 22, 23 and 24. None is per-school. Year-on-year growth in money received by a named school cannot be read from these reports at all.",
A persistent school identifier,never published,"Schools appear by name only — no code, no ID, no address — in both reports and in the expenditure appendix, where the same school is often spelled differently again. Checked 2026-07-27.","Not obtainable: the state's own private-school directory has no stable ID either, truncates school_name at 30 characters in the source database, and omits 15–23% of EFA schools entirely — including the programme's two largest recipients."
"Per-school dollars, 2025-26","collected, not published","No 2025-26 annual report exists yet (expected ~October 2026), and no interim per-school expenditure release was found. Checked 2026-07-27.",
Tuition charged by participating schools,"collected, not published",Neither annual report publishes tuition. The state collects it on the school application form. Checked 2026-07-27.,"The Arkansas Advocate obtained 170 application packets under FOIA and reported an average tuition of about $9,800 for 2026-27 (1 July 2026). The figure on this page is theirs; the underlying records are the state's."
Transaction-level records,"collected, not published","The reports publish category totals and a recipient appendix, never the transactions themselves. The payment platform holds them. Checked 2026-07-27.",
Application denial reasons,never published,"6,495 applied and 5,700 were approved in 2023-24; 18,921 applied and 14,457 were approved in 2024-25. Nothing published explains a single denial. Checked 2026-07-27.",
Reimbursement processing times / backlog,"collected, not published","No service-level or processing-time figure appears in either report, despite a vendor backlog being reported in mid-2026. Checked 2026-07-27.",
"Attendance, discipline, graduation",never collected,The programme collects a norm-referenced test score and nothing else about a participating student's schooling. Checked 2026-07-27.,
Within-year timing,never published,"A complete enumeration of the Arkansas General Assembly's document server over 2023-03-01 to 2026-07-27 — 7,232 index rows, 5,932 attachments, 663 meetings, all HTTP 200, zero failures — found exactly two EFA reports filed to the legislature in 41 months, and no quarterly series. Agendas in the same window carry 171 genuine quarterly filings from other agencies, so a DESE quarterly would have appeared in the index had one been filed.",
"2025-26 participation counts, spending, schools",not yet published,No 2025-26 annual report exists on the DESE site or the legislative server. The only 2025-26 figures in the record are the 2024-25 report's forward-looking Outlook paragraph and its retention table. Checked 2026-07-27.,
2026-27 participation counts,"collected, not published","No state publication held by this project contains 2026-27 participation counts: not the two annual reports, not the appropriation acts, not the DESE programme pages, not the legislative exhibit server. Checked 2026-07-27.","The Arkansas Advocate published approved counts attributed to the Department (51,041 approved — 28,096 private school, 22,945 homeschool, as of 26 June 2026) alongside school-application figures from records obtained under FOIA."
Per-school retention into 2025-26,published,"Published, and the only school-level 2025-26 data in the record. Listed here because this project's own QA twice stated no 2025-26 school-level data existed; an audit found the 2024-25 report's Table 2 measures the 2024-25 → 2025-26 transition, and both QA files now carry dated corrections.",
